n_head,n_layer,n_embd,learning_rate,dropout,iteration,best_val_loss,best_val_loss_iter,best_train_loss,best_train_loss_iter
6,3,240,0.0004049092485690298,0.2563234768060208,120,0.007779833601994647,108,0.006588525410431127,120
1,3,270,0.0002237093989687961,0.014384159241184524,126,0.008016679177267684,114,0.005757236827371849,126
12,1,120,6.65458369014506e-05,0.24061442177899506,220,0.009425936370260186,208,0.009016996353036828,216
5,3,240,0.0005059450427131397,0.24498837283289776,98,0.007849576262136301,86,0.006686411060703297,94
1,5,250,7.785318444383334e-05,0.08753302418942827,200,0.007813832877824703,188,0.006171354946369926,200
3,7,300,0.0008116672099403359,0.2973755382191305,64,0.007964615606599383,52,0.0067379721052323776,58
3,12,120,0.00020185378948225322,0.3144698133269858,150,0.008124906052317884,138,0.00746763246651325,138
10,1,370,2.1128401643637797e-05,0.3233862159365938,144,0.010453693775667084,132,0.010088940927137932,132
5,2,150,0.00046408953006234113,0.3670349360219742,88,0.008834946693645583,76,0.008311219979077578,76
6,9,480,1.191307447161465e-05,0.40067217651127135,-1,-1,-1,-1,-1
10,9,210,6.48188978284587e-05,0.277729399133267,194,0.007953435699972842,182,0.006999165401794016,192
12,6,300,0.00024625063964738757,0.06270210309911628,134,0.007547399701757563,122,0.004715096735809412,134
2,11,310,0.0008379043001459873,0.4170028068642811,-1,-1,-1,-1,-1
10,5,140,1.3411377368434586e-05,0.30136107076205126,414,0.00927341677662399,402,0.008863528116813136,402
1,6,120,0.0001532344460020385,0.10814826230673813,190,0.008031198961867226,178,0.007049215013264782,190
10,12,450,2.2813941594672007e-05,0.2866991275604663,-1,-1,-1,-1,-1
5,9,470,0.0004371199646689849,0.15521497867317507,-1,-1,-1,-1,-1
1,11,460,0.00019395914206891284,0.4326251914445882,-1,-1,-1,-1,-1
6,12,150,0.00010894208033332115,0.12189595377332046,152,0.007917750575062301,140,0.006759871275992029,148
2,5,110,1.3696458594960469e-05,0.013960442849829335,414,0.008810850170751413,402,0.008262086853695413,414
5,9,490,4.907890855542452e-05,0.34028905119756114,-1,-1,-1,-1,-1
8,10,320,0.00019743295844453103,0.17638904745972006,126,0.0075003351602289416,114,0.005247652711760666,124
6,12,180,1.8505560840835344e-05,0.1791618008370372,268,0.008175285533070564,256,0.00743452940757076,256
3,2,270,0.00013720577517681182,0.015804218569993034,140,0.00809523080372148,128,0.006449874839745462,140
6,9,480,1.4602637733434195e-05,0.39463254417596044,-1,-1,-1,-1,-1
8,11,360,0.0006747376061243685,0.09598944537979426,-1,-1,-1,-1,-1
3,10,240,0.00026137293124952146,0.08561419928452241,98,0.0076049768055478735,86,0.005578920309845772,96
8,12,400,0.00027106585245438586,0.19279036039554043,-1,-1,-1,-1,-1
5,5,190,5.194666805163129e-05,0.47688154128690646,138,0.009347562574677996,126,0.008971078062636985,126
5,10,290,3.1460685623612165e-05,0.08384221104898348,-1,-1,-1,-1,-1
10,1,260,6.90350660143196e-05,0.43329033274123074,136,0.010453180203007327,124,0.010027844924479723,124
6,11,420,1.1882137677357718e-05,0.3069233794008507,-1,-1,-1,-1,-1
4,8,340,0.00020154570409385852,0.33817086249228356,196,0.007468930911272764,184,0.005402265517558489,194
5,6,450,0.0006552547452695415,0.20782935348459125,126,0.007453880376285977,114,0.004952778186028202,126
10,11,430,1.2954510884290925e-05,0.30186317351360303,-1,-1,-1,-1,-1
6,5,300,1.547323325182994e-05,0.31129070134868514,226,0.008564404160198238,214,0.00804706873734378,214
6,7,360,0.0002236715514276345,0.12846878436552572,164,0.007380103226751089,152,0.00447077697996671,164
3,8,420,0.00023765147583616782,0.4318668402100727,64,0.008263029830737246,52,0.0074711302424677545,64
1,7,460,8.099587022633135e-05,0.45919941973827266,106,0.008327863903509246,94,0.007654664818094009,104
3,4,330,6.638893564128933e-05,0.3045653399738107,194,0.007931176986959245,182,0.006953559932298958,194
5,4,300,0.00012897245733867527,0.4443549041218237,142,0.00823457171726558,130,0.007521391031332314,136
2,11,200,0.0002758963544756517,0.28006623033774586,88,0.007833170859764019,76,0.006934765144251287,88
3,7,270,7.967290797795728e-05,0.08204524041255795,122,0.007798036819116937,110,0.0063516967671198975,122
10,8,130,1.3061931358183419e-05,0.1504875486759738,410,0.008682281710207462,398,0.00812757919387271,410
4,7,180,6.643552332499175e-05,0.3095035574557688,134,0.008495764599906074,122,0.00794354583033257,130
2,4,190,0.0008989134326041623,0.43511028323155376,60,0.008897203020751476,48,0.008341462351381779,48
6,5,210,0.00014414912461946112,0.2178753196240541,160,0.007820767195274433,148,0.006697123831448455,160
10,1,250,0.00014177686254243727,0.3829175773168733,98,0.009819298361738523,86,0.009359057630515762,86
8,2,200,0.0008818250975896788,0.4290461989273158,74,0.008764237113710906,62,0.008119960406070782,74
2,2,190,0.0009279635614868202,0.06202930387550881,118,0.007882675104257133,106,0.006282335431832407,116
6,2,450,1.10167359599723e-05,0.3896855637168964,240,0.009543395601212978,228,0.009120504850418203,228
4,3,300,5.720356059323961e-05,0.3064765852196314,184,0.00819084762285153,172,0.007472724679650532,184
8,11,280,0.00018536406830369233,0.22455150719880862,-1,-1,-1,-1,-1
2,6,130,2.5712584984115924e-05,0.15034603935005103,384,0.008352216333150864,372,0.007747372586487068,382
8,9,200,2.3451381803245866e-05,0.30427253999135406,-1,-1,-1,-1,-1
1,6,420,4.5411648224177903e-05,0.1804991232405248,182,0.007740786195629173,170,0.006279492168687284,182
2,7,150,0.00032784297626571975,0.1474086069883283,188,0.007581728407078319,176,0.005960917889347507,184
8,9,160,0.0002637567261867164,0.0682003607014085,96,0.007862149065153467,84,0.006454241617272298,94
8,5,400,0.0008787927381801975,0.18829766290895544,120,0.007358451477355427,108,0.004781709453608427,120
8,1,240,0.00024277444436351646,0.2648683174109495,94,0.00890893049331175,82,0.008343621131239666,82
12,2,120,0.00019870923095595693,0.00012192012038031441,186,0.008284098520461056,174,0.007023223831007878,184
1,10,440,0.00022237350957716575,0.4322930484613917,-1,-1,-1,-1,-1
2,7,270,0.00010294192711178004,0.3809457680053867,164,0.007996805581367679,152,0.007122962515697711,162
4,5,500,1.3375246553759537e-05,0.37234923098852507,222,0.008631935394886468,210,0.00809906705075668,210
5,6,310,7.051524913278112e-05,0.4968608008261282,148,0.008555754346566068,136,0.008015689957473014,136
1,8,360,0.00012049760684358051,0.16283801848233748,204,0.007465625854416026,192,0.004946925043542352,200
4,4,220,0.00037223773355123726,0.006125772943948171,80,0.007939768075529072,68,0.00586783475915177,80
8,9,480,0.0001609930885077903,0.21107357430380702,-1,-1,-1,-1,-1
2,8,250,0.0006344250856422961,0.019402128557117704,82,0.007705641134331624,70,0.004870741679850552,82
2,5,100,2.6275747360902736e-05,0.30312611684097607,332,0.00941939993451039,320,0.009041512695451578,320
8,9,160,4.744498875024964e-05,0.4628267419900209,110,0.009578428024219142,98,0.0092153026877592,98
2,2,170,0.0006033493232693731,0.43020238366590335,138,0.008929920486278005,126,0.008315221742830343,126
4,7,220,0.00029426934861571713,0.33113057385374783,128,0.007749730048494207,116,0.0066019264825930195,126
6,1,360,0.00012247893416869382,0.22178740673603897,88,0.00892724541740285,76,0.008340468048118055,76
4,8,380,0.0001052884037590362,0.18147073260749963,-1,-1,-1,-1,-1
12,11,300,0.000238139445059382,0.4992076924672249,-1,-1,-1,-1,-1
5,8,170,0.0005263951808604724,0.13422656614452677,116,0.007572898899929391,104,0.005785974285875757,116
6,8,300,0.0008772395155271395,0.07236491585327154,116,0.0073959797413812745,104,0.004564778665856768,116
2,5,360,0.0005135863041959162,0.45419940298253825,62,0.008394316407955356,50,0.007589226717957192,62
10,9,470,0.00015059415291835215,0.13612343031615032,-1,-1,-1,-1,-1
12,10,120,9.054289354947439e-05,0.16127685250451834,148,0.008270688768890169,136,0.007537228197583722,144
12,2,120,2.615068012139449e-05,0.04799247309077537,-1,-1,-1,-1,-1
8,6,160,0.00040577179380525875,0.35174230751962987,-1,-1,-1,-1,-1
4,10,440,0.0005777812255691388,0.38187384563017407,-1,-1,-1,-1,-1
6,6,270,0.0005931360369273976,0.4423660213169654,-1,-1,-1,-1,-1
10,1,430,8.559855462875552e-05,0.02064897278425376,-1,-1,-1,-1,-1
